dimension,group,n,current_listings,historical_identities,median_excess_cagr,median_excess_martin,beat_spy_cagr,rate_beat_spy_cagr,beat_spy_sortino,rate_beat_spy_sortino,beat_spy_calmar,rate_beat_spy_calmar,beat_spy_martin,rate_beat_spy_martin,beat_spy_rwm_score,rate_beat_spy_rwm_score,beat_spy_cagr_and_rwm,rate_beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,rate_beat_spy_cagr_and_martin,beat_spy_all_four,rate_beat_spy_all_four
primary_strategy,crypto,11,11,0,-0.10975976912071905,-1.5679213864893908,3,0.2727272727272727,2,0.18181818181818182,1,0.09090909090909091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,emerging_market_debt,11,11,0,-0.12236086602927543,-1.7842545314765341,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,industrial_metals,11,11,0,-0.07995154418612271,-1.941374461698374,1,0.09090909090909091,0,0.0,1,0.09090909090909091,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,risk_managed_alternative,11,11,0,-0.123344246374826,-1.48790760165629,0,0.0,3,0.2727272727272727,3,0.2727272727272727,1,0.09090909090909091,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,agriculture,8,8,0,-0.1739098411691546,-2.425980940758957,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,energy_commodities,8,8,0,-0.1346403173504599,-1.0550429027318002,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,long_short_market_neutral,7,7,0,-0.06137443601503523,0.25542574075904856,1,0.14285714285714285,3,0.42857142857142855,3,0.42857142857142855,4,0.5714285714285714,3,0.42857142857142855,1,0.14285714285714285,1,0.14285714285714285,1,0.14285714285714285
primary_strategy,unclassified,7,7,0,-0.08436793959698963,-1.1143400353881354,1,0.14285714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,alternative_income,4,4,0,-0.0542761165782607,-0.7340459100889463,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25,1,0.25
primary_strategy,managed_futures,4,4,0,-0.1055352349864469,-1.7996588257892343,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,cash_and_t_bills,3,3,0,-0.1347390395683461,33.977521933551216,0,0.0,3,1.0,3,1.0,3,1.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,merger_arbitrage,2,2,0,-0.12753119674904878,-0.4957211966784334,0,0.0,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,absolute_return,1,1,0,-0.11501853638639403,-1.7590878934293026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
primary_strategy,other_alternative,1,1,0,-0.07791975295920106,-1.5051351719113797,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sector_theme,not_sector_specific,1697,1635,62,-0.06032944029411191,-0.9295499871066648,154,0.09074837949322334,176,0.10371243370654096,198,0.11667648791985857,188,0.1107837360047142,128,0.07542722451384797,72,0.04242781378903948,64,0.03771361225692398,47,0.02769593400117855
sector_theme,technology,55,55,0,-0.010782769889557287,-1.1758881740243243,26,0.4727272727272727,5,0.09090909090909091,10,0.18181818181818182,4,0.07272727272727272,6,0.10909090909090909,6,0.10909090909090909,4,0.07272727272727272,3,0.05454545454545454
sector_theme,real_estate,43,42,1,-0.08715273853290917,-1.4972059628768064,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sector_theme,energy,42,40,2,-0.08393210821018882,-1.1007532523350894,2,0.047619047619047616,1,0.023809523809523808,1,0.023809523809523808,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
sector_theme,materials_and_mining,38,38,0,-0.05199411318453473,-1.19184957749477,5,0.13157894736842105,1,0.02631578947368421,2,0.05263157894736842,2,0.05263157894736842,3,0.07894736842105263,2,0.05263157894736842,2,0.05263157894736842,1,0.02631578947368421
